3528.51	18
3527.23	2
3525.95	5
3524.67	23
3523.39	9.5
3522.1	-19
3520.82	6
3519.54	15
3518.26	18
3516.97	10.5
3515.69	-8
3514.4	-2
3513.12	15.5
3511.84	12
3510.55	9.5
3509.26	-15
3507.98	13
3506.69	-14
3505.41	13
3504.12	9.5
3502.83	-4
3501.54	-6
3500.26	26
3498.97	18
3497.68	4
3496.39	5.5
3495.1	-9
3493.81	-10
3492.52	5
3491.23	-10
3489.94	29.5
3488.65	6
3487.36	5
3486.07	8
3484.78	22
3483.49	10.5
3482.19	21
3480.9	-3
3479.61	17
3478.31	1
3477.02	24
3475.73	24
3474.43	-13
3473.14	2
3471.84	-5
3470.54	18
3469.25	8.5
3467.95	-5
3466.66	-11
3465.36	13.5
3464.06	9
3462.76	16
3461.46	-2
3460.17	9
3458.87	10.5
3457.57	-13
3456.27	19
3454.97	5.5
3453.67	18
3452.37	-10
3451.07	16.5
3449.77	5
3448.47	23
3447.16	3
3445.86	13
3444.56	27
3443.26	12.5
3441.95	14.5
3440.65	17
3439.35	13
3438.04	9
3436.74	8
3435.43	2
3434.13	25.5
3432.82	4
3431.52	6
3430.21	14
3428.9	13
3427.6	-10
3426.29	12
3424.98	41
3423.67	3
3422.36	29.5
3421.06	2.5
3419.75	13.5
3418.44	22
3417.13	19
3415.82	21
3414.51	19
3413.2	-17
3411.88	24
3410.57	11
3409.26	50
3407.95	17.5
3406.64	26.5
3405.32	5
3404.01	-8
3402.7	26
3401.38	38
3400.07	26
3398.75	9.5
3397.44	28.5
3396.12	27
3394.81	34
3393.49	16
3392.18	-9
3390.86	27.5
3389.54	15.5
3388.23	12.5
3386.91	-0.5
3385.59	3
3384.27	14.5
3382.95	9
3381.63	16
3380.31	14
3378.99	42.5
3377.67	18
3376.35	7
3375.03	39.5
3373.71	23.5
3372.39	25.5
3371.07	22.5
3369.75	14
3368.42	12.5
3367.1	12
3365.78	39.5
3364.45	34
3363.13	7.5
3361.81	21.5
3360.48	21
3359.16	22
3357.83	44
3356.51	19
3355.18	20
3353.85	27.5
3352.53	31.5
3351.2	38
3349.87	17
3348.54	14
3347.22	26
3345.89	-11
3344.56	33
3343.23	15
3341.9	58.5
3340.57	19.5
3339.24	7
3337.91	38
3336.58	21.5
3335.25	46
3333.92	29.5
3332.58	23
3331.25	23.5
3329.92	19
3328.59	-14
3327.25	38.5
3325.92	21
3324.58	16.5
3323.25	25
3321.92	31
3320.58	22
3319.25	57.5
3317.91	7
3316.57	37.5
3315.24	19
3313.9	34
3312.56	14
3311.23	11.5
3309.89	36
3308.55	29.5
3307.21	35
3305.87	31
3304.53	27
3303.19	34
3301.85	42.5
3300.51	8
3299.17	23.5
3297.83	28.5
3296.49	16.5
3295.15	25.5
3293.81	33
3292.46	44
3291.12	25
3289.78	39.5
3288.43	33
3287.09	30.5
3285.75	20.5
3284.4	31.5
3283.06	21.5
3281.71	51
3280.37	30
3279.02	23
3277.67	37
3276.33	29.5
3274.98	17.5
3273.63	42
3272.28	35.5
3270.94	31.5
3269.59	51
3268.24	28
3266.89	27
3265.54	22
3264.19	31.5
3262.84	42
3261.49	12.5
3260.14	32
3258.79	20.5
3257.44	23
3256.08	44
3254.73	50
3253.38	26.5
3252.03	44
3250.67	36
3249.32	30
3247.96	21
3246.61	58
3245.26	44
3243.9	52
3242.54	47.5
3241.19	45.5
3239.83	67
3238.48	63.5
3237.12	38.5
3235.76	49
3234.41	45
3233.05	59
3231.69	43
3230.33	30
3228.97	57.5
3227.61	55.5
3226.25	64.5
3224.89	86
3223.53	69.5
3222.17	46
3220.81	64.5
3219.45	56.5
3218.09	84
3216.72	58
3215.36	54.5
3214	84.5
3212.63	72.5
3211.27	89.5
3209.91	71
3208.54	70
3207.18	74.5
3205.81	82.5
3204.45	69
3203.08	49
3201.71	74.5
3200.35	67
3198.98	83.5
3197.61	100.5
3196.25	69.5
3194.88	52
3193.51	86
3192.14	81
3190.77	74
3189.4	86.5
3188.03	54
3186.66	82
3185.29	100
3183.92	73.5
3182.55	84
3181.18	90
3179.81	84
3178.44	78
3177.06	91
3175.69	81
3174.32	65
3172.94	91
3171.57	126
3170.2	70
3168.82	113
3167.45	74
3166.07	92
3164.69	108.5
3163.32	104.5
3161.94	92
3160.56	99
3159.19	72
3157.81	83
3156.43	111.5
3155.05	96
3153.67	91
3152.3	98
3150.92	100.5
3149.54	85
3148.16	104
3146.78	88
3145.4	119
3144.01	113.5
3142.63	100
3141.25	83
3139.87	112.5
3138.49	100
3137.1	104
3135.72	106
3134.34	101
3132.95	104
3131.57	101
